Country,Capital
Afghanistan,Kabul
Albania,Tirana
Algeria,Algiers
American Samoa,Pago Pago
Andorra,Andorra la Vella
Angola,Luanda
Anguilla,The Valley
Antigua and Barbuda,Saint John's
Argentina,Buenos Aires
Armenia,Yerevan
Aruba,Oranjestad
Australia,Canberra
Austria,Vienna
Azerbaijan,Baku
Bahrain,Manama
Bangladesh,Dhaka
Barbados,Bridgetown
Belarus,Minsk
Belgium,Brussels
Belize,Belmopan
Benin,Porto-Novo
Bermuda,Hamilton
Bhutan,Thimphu
Bolivia,La Paz
Bonaire,Kralendijk
Bosnia and Herzegovina,Sarajevo
Botswana,Gaborone
Brazil,Brasília
British Virgin Islands,Road Town
Brunei,Bandar Seri Begawan
Bulgaria,Sofia
Burkina Faso,Ouagadougou
Burundi,Gitega
Cambodia,Phnom Penh
Cameroon,Yaoundé
Canada,Ottawa
Cape Verde,Praia
Cayman Islands,George Town
Central African Republic,Bangui
Chad,N'Djamena
Chile,Santiago
China (People's Republic of),Beijing
Christmas Island,Flying Fish Cove
Cocos Islands,West Island
Colombia,Bogotá
Comoros,Moroni
Cook Islands,Avarua
Costa Rica,San José
Croatia,Zagreb
Cuba,Havana
Curaçao,Willemstad
Cyprus,Nicosia
Czech Republic,Prague
Côte d'Ivoire(formerly Ivory Coast),Yamoussoukro
Democratic Republic of the Congo,Kinshasa
Denmark,Copenhagen
Djibouti,Djibouti
Dominica,Roseau
Dominican Republic,Santo Domingo
East Timor,Díli
Ecuador,Quito
Egypt,Cairo
El Salvador,San Salvador
Equatorial Guinea,Malabo
Eritrea,Asmara
Estonia,Tallinn
Eswatini(formerly Swaziland),Mbabane
Ethiopia,Addis Ababa
Falkland Islands,Stanley
Faroe Islands,Tórshavn
Federated States of Micronesia,Palikir
Fiji,Suva
Finland,Helsinki
France,Paris
French Guiana,Cayenne
French Polynesia,Papeete
Gabon,Libreville
Georgia,Tbilisi
Germany,Berlin
Ghana,Accra
Gibraltar,Gibraltar
Greece,Athens
Greenland,Nuuk
Grenada,St. George's
Guadeloupe,Basse-Terre
Guam,Hagåtña
Guatemala,Guatemala City
Guernsey,Saint Peter Port
Guinea,Conakry
Guinea-Bissau,Bissau
Guyana,Georgetown
Haiti,Port-au-Prince
Honduras,Tegucigalpa
Hong Kong,Hong Kong
Hungary,Budapest
Iceland,Reykjavík
India,New Delhi
Indonesia,Jakarta
Iran,Tehran
Iraq,Baghdad
Ireland,Dublin
Isle of Man,Douglas
Israel,Jerusalem
Italy,Rome
Jamaica,Kingston
Japan,Tokyo
Jersey,St. Helier
Jordan,Amman
Kazakhstan,Astana
Kenya,Nairobi
Kiribati,Tarawa
Kosovo,Pristina
Kuwait,Kuwait City
Kyrgyzstan,Bishkek
Laos,Vientiane
Latvia,Riga
Lebanon,Beirut
Lesotho,Maseru
Liberia,Monrovia
Libya,Tripoli
Liechtenstein,Vaduz
Lithuania,Vilnius
Luxembourg,Luxembourg
Macau,Macau
Madagascar,Antananarivo
Malawi,Lilongwe
Malaysia,Kuala Lumpur
Maldives,Malé
Mali,Bamako
Malta,Valletta
Marshall Islands,Majuro
Martinique,Fort-de-France
Mauritania,Nouakchott
Mauritius,Port Louis
Mayotte,Mamoudzou
Mexico,Mexico City
Moldova,Chișinău
Monaco,Monaco
Mongolia,Ulaanbaatar
Montenegro,Podgorica
Montserrat,Brades Estate
Morocco,Rabat
Mozambique,Maputo
Myanmar (or Burma),Naypyidaw
Namibia,Windhoek
Nauru,Yaren
Nepal,Kathmandu
Netherlands,Amsterdam
New Caledonia,Nouméa
New Zealand,Wellington
Nicaragua,Managua
Niger,Niamey
Nigeria,Abuja
Niue,Alofi
Norfolk Island,Kingston
North Korea,Pyongyang
North Macedonia,Skopje
Northern Mariana Islands,Saipan
Norway,Oslo
Oman,Muscat
Pakistan,Islamabad
Palau,Ngerulmud
Palestine,East JerusalemRamallah
Panama,Panama City
Papua New Guinea,Port Moresby
Paraguay,Asunción
Peru,Lima
Philippines,Manila
Pitcairn Islands,Adamstown
Poland,Warsaw
Portugal,Lisbon
Puerto Rico,San Juan
Qatar,Doha
Republic of the Congo,Brazzaville
Romania,Bucharest
Russia,Moscow
Rwanda,Kigali
Réunion,Saint-Denis
Saba,The Bottom
Sahrawi Arab Democratic Republic,Laayoune
Saint Barthélemy,Gustavia
"Saint Helena, Ascension and Tristan da Cunha",Jamestown
Saint Kitts and Nevis,Basseterre
Saint Lucia,Castries
Saint Martin,Marigot
Saint Pierre and Miquelon,Saint-Pierre
Saint Vincent and the Grenadines,Kingstown
Samoa,Apia
San Marino,San Marino
Saudi Arabia,Riyadh
Senegal,Dakar
Serbia,Belgrade
Seychelles,Victoria
Sierra Leone,Freetown
Singapore,Singapore
Sint Eustatius,Oranjestad
Sint Maarten,Philipsburg
Slovakia,Bratislava
Slovenia,Ljubljana
Solomon Islands,Honiara
Somalia,Mogadishu
South Africa,PretoriaCape TownBloemfontein
South Korea,Seoul
South Sudan,Juba
Spain,Madrid
Sri Lanka,Sri Jayawardenapura Kotte
Sudan,Khartoum
Suriname,Paramaribo
Svalbard,Longyearbyen
Sweden,Stockholm
Switzerland,Bern
Syria,Damascus
São Tomé and Príncipe,São Tomé
Taiwan (Republic of China),Taipei
Tajikistan,Dushanbe
Tanzania,Dodoma
Thailand,Bangkok
The Bahamas,Nassau
The Gambia,Banjul
Togo,Lomé
Tokelau,
Tonga,Nukuʻalofa
Trinidad and Tobago,Port of Spain
Tunisia,Tunis
Turkey,Ankara
Turkmenistan,Ashgabat
Turks and Caicos Islands,Cockburn Town
Tuvalu,FongafaleFunafuti
Uganda,Kampala
Ukraine,Kyiv
United Arab Emirates,Abu Dhabi
United Kingdom,London
United States,"Washington, D.C."
United States Virgin Islands,Charlotte Amalie
Uruguay,Montevideo
Uzbekistan,Tashkent
Vanuatu,Port Vila
Vatican City,Vatican City
Venezuela,Caracas
Vietnam,Hanoi
Wallis and Futuna,Mata Utu
Yemen,Sana'a
Zambia,Lusaka
Zimbabwe,Harare
Åland,Mariehamn
